time,Bx,By,Bz,BT
0.004501,-0.38,-75.3,225.45,237.69
0.005287,2.25,-76.05,224.25,236.81
0.008456,5.25,-76.5,222.3,235.15
0.018506,5.25,-76.5,222.3,235.15
0.027665,8.62,-77.55,220.35,233.76
0.0374,12.45,-78.75,218.33,232.43
0.047192,16.35,-80.1,216.15,231.09
0.056694,20.1,-81.75,213.6,229.59
0.066395,24.15,-83.62,210.6,227.88
0.075327,28.05,-85.5,207.3,225.99
0.086045,32.1,-87.75,203.7,224.11
0.094615,35.85,-90.23,199.95,222.27
0.105961,39.6,-92.7,195.75,220.18
0.115213,42.9,-95.62,191.55,218.35
0.12694,46.12,-98.7,187.35,216.72
0.134123,49.2,-101.85,182.7,214.88
0.145866,51.53,-105.45,177.6,212.88
0.154201,53.93,-109.35,172.5,211.24
0.164171,55.95,-113.03,167.33,209.53
0.172574,57.53,-116.63,162.3,207.97
0.183377,58.65,-120.53,157.35,206.7
0.192071,59.4,-124.05,152.55,205.4
0.203131,60.23,-127.35,148.05,204.36
0.211462,60.53,-130.43,143.85,203.39
0.222123,60.75,-132.9,140.62,202.8
0.231646,60.75,-135,137.62,202.13
0.240931,60.75,-137.1,135.15,201.87
0.249822,60.6,-139.05,132.9,201.67
0.260222,60.6,-140.4,131.25,201.52
0.269562,60.45,-141.6,129.75,201.35
0.279994,60.23,-142.43,128.62,201.14
0.288751,60.3,-143.03,127.73,201.01
0.302618,60.53,-143.25,127.43,201.05
0.308001,60.75,-143.4,127.5,201.27
0.318258,60.75,-143.4,127.5,201.27
0.326938,60.9,-143.1,127.65,201.2
0.337876,61.35,-142.5,128.55,201.48
0.346455,61.5,-141.6,129.53,201.52
0.356892,61.8,-140.33,131.33,201.88
0.36619,61.95,-139.05,133.05,202.18
0.376241,61.95,-137.33,135.23,202.44
0.38576,61.95,-135.75,137.55,202.94
0.403563,61.95,-133.5,140.4,203.4
0.405869,61.5,-131.25,143.55,204
0.416466,61.05,-128.55,146.85,204.49
0.424251,60.75,-125.55,150.83,205.43
0.434914,60.15,-122.63,154.5,206.22
0.44513,58.95,-119.63,158.55,207.18
0.454044,57.75,-116.7,162.53,208.25
0.462651,56.7,-113.25,167.25,209.79
0.473691,54.75,-110.03,171.53,211.01
0.482439,53.03,-106.65,176.25,212.72
0.492561,50.63,-103.35,180.83,214.34
0.501636,48.15,-100.35,185.03,215.92
0.513182,45.15,-97.35,189.45,217.73
0.520481,42,-94.2,193.95,219.67
0.531009,38.85,-91.05,198.3,221.64
0.540129,34.73,-88.43,202.05,223.27
0.551194,30.83,-85.95,205.73,225.08
0.559459,26.7,-83.85,209.25,227
0.57043,22.73,-81.83,212.85,229.17
0.579851,18.75,-79.95,215.93,231.01
0.58987,14.93,-78.53,218.55,232.71
0.603507,11.1,-76.95,220.95,234.23
0.609623,7.35,-75.83,222.9,235.56
0.617558,7.35,-75.83,222.9,235.56
0.629933,4.12,-74.93,225,237.18
0.637224,1.2,-74.25,227.1,238.93
0.647438,-1.35,-73.5,228.53,240.06
0.656179,-3.45,-73.05,229.35,240.73
0.66749,-5.55,-72.53,230.33,241.54
0.675841,-6.6,-72.15,231.23,242.31
0.687167,-6.75,-72.15,231.45,242.53
0.702643,-6.68,-72,231.6,242.63
0.706182,-6.15,-72.15,231.23,242.3
0.714408,-4.58,-72.3,230.25,241.38
0.725638,-2.7,-72.75,229.65,240.91
0.734127,-0.45,-73.35,228.45,239.94
0.744281,2.33,-74.03,226.65,238.44
0.753057,5.4,-74.85,224.55,236.76
0.764114,8.33,-76.05,222.45,235.24
0.772888,11.85,-77.33,220.05,233.54
0.784185,15.83,-78.75,217.13,231.51
0.791954,19.35,-80.55,214.2,229.66
0.802467,22.95,-82.65,210.53,227.33
0.813385,26.85,-84.6,207.15,225.36
0.821278,30.83,-87,203.25,223.23
0.830611,34.5,-89.62,199.35,221.28
0.84036,38.25,-92.33,195.3,219.38
0.849799,41.85,-95.25,191.1,217.58
0.862041,44.85,-98.25,186.83,215.8
0.869514,47.7,-101.25,182.4,214
0.879773,50.33,-104.33,178.05,212.41
0.889493,52.65,-107.85,173.1,210.64
0.898797,54.6,-111.3,168.6,209.27
0.907488,56.33,-114.83,164.25,208.17
0.918798,56.33,-114.83,164.25,208.17
0.92778,57.75,-118.05,159.83,206.92
0.937637,58.65,-121.35,155.55,205.82
0.9468,59.55,-124.35,151.65,204.96
0.959594,60.23,-127.5,147.9,204.35
0.966264,60.75,-130.05,144.6,203.75
0.97649,61.13,-132.3,141.75,203.3
0.98647,61.2,-134.4,138.83,202.68
0.997283,61.35,-136.35,136.12,202.2
1.006146,61.35,-138.23,134.1,202.12
1.015392,61.35,-139.65,132.23,201.86
1.02421,61.2,-140.85,130.43,201.48
1.0347,61.35,-141.45,129.23,201.17
1.042932,61.43,-142.05,128.33,201.04
1.053606,61.2,-142.65,127.8,201.07
1.062739,61.35,-142.65,127.8,201.11
1.073256,61.35,-142.5,128.25,201.29
1.082424,61.35,-142.05,128.55,201.16
1.095543,61.43,-141.23,129.3,201.09
1.10176,61.43,-140.25,130.5,201.18
1.112447,61.43,-139.2,132.15,201.53
1.120691,61.43,-137.85,133.65,201.59
1.131004,61.35,-136.05,135.83,201.8
1.139614,61.35,-134.1,138.15,202.07
1.150865,60.9,-131.93,141.23,202.63
1.159223,60.9,-129.45,144.75,203.52
1.170609,60.53,-126.53,148.5,204.26
1.178871,60.15,-123.45,152.85,205.48
1.190886,59.25,-120.23,157.05,206.47
1.198304,57.75,-116.25,162.53,208
1.211195,57.75,-116.25,162.53,208
1.217575,56.33,-112.35,167.85,209.69
1.227845,54.53,-108.3,173.55,211.71
1.236724,52.2,-104.4,178.8,213.53
1.247339,49.13,-100.5,184.35,215.63
1.256083,46.05,-96.83,189.45,217.69
1.266762,42.45,-93.6,194.4,219.9
1.27573,38.62,-90.45,199.05,222.02
1.286582,35.1,-87.9,203.1,224.07
1.294689,31.05,-85.8,206.85,226.08
1.306409,27.15,-83.85,210.15,227.88
1.314613,23.25,-81.75,213.15,229.47
1.326438,19.43,-80.33,215.63,230.92
1.33492,15.53,-79.2,217.95,232.41
1.344071,11.85,-78,220.05,233.77
1.353164,8.4,-77.03,221.93,235.06
1.362926,4.95,-76.35,223.35,236.09
1.372706,2.25,-75.3,224.7,236.99
1.382783,-0.3,-74.7,225.9,237.93
1.395513,-2.4,-74.25,226.8,238.66
1.402388,-4.35,-73.73,227.55,239.23
1.411625,-5.55,-73.12,228.45,239.93
1.42123,-6.38,-72.83,229.05,240.43
1.430884,-6.45,-72.75,229.43,240.77
1.441743,-6.3,-72.45,229.73,240.96
1.450816,-5.7,-72.3,229.95,241.12
1.460656,-4.65,-72.45,229.8,241
1.470407,-2.85,-72.75,229.65,240.91
1.480725,-0.6,-73.12,229.2,240.58
1.48893,1.95,-73.8,227.93,239.58
1.498993,4.73,-74.55,226.65,238.64
1.509265,4.73,-74.55,226.65,238.64
1.518157,7.95,-75.45,225.15,237.59
1.526776,11.62,-76.65,222.83,235.93
1.537424,15.45,-78,220.35,234.26
1.546687,19.2,-79.65,217.35,232.28
1.557307,22.8,-81.75,213.75,229.98
1.566968,26.85,-83.93,209.55,227.32
1.576672,30.83,-86.33,205.65,225.15
1.586106,34.5,-88.95,201.15,222.63
1.597501,37.8,-91.8,196.5,220.16
1.605311,41.25,-94.95,191.85,218
1.615524,44.25,-98.1,186.75,215.54
1.626559,47.1,-101.4,181.5,213.17
1.634108,49.95,-104.7,176.85,211.5
1.642823,52.13,-107.93,172.2,209.8
1.653062,53.93,-111.3,167.7,208.37
1.663783,55.73,-114.83,163.35,207.3
1.673571,57.45,-117.83,159,206.07
1.68239,58.35,-120.9,155.03,205.07
1.693432,59.1,-124.05,151.35,204.42
1.702498,59.85,-126.9,148.05,203.97
1.711495,60,-129.45,144.75,203.25
1.72013,60.45,-131.93,141.6,202.75
1.73128,60.83,-134.1,138.75,202.32
1.740161,61.2,-135.83,136.35,201.95
1.750185,61.35,-137.62,134.1,201.71
1.758912,61.5,-139.12,132.15,201.5
1.77013,61.5,-140.25,130.8,201.4
1.779137,61.65,-141.15,129.45,201.2
1.789751,61.65,-141.75,128.55,201.04
1.798493,61.35,-142.05,128.25,200.97
1.810531,61.35,-142.05,128.25,200.97
1.817491,61.35,-142.2,128.1,200.98
1.827669,61.35,-142.05,128.25,200.97
1.836524,61.35,-141.6,129,201.14
1.847042,61.13,-140.85,130.35,201.41
1.855697,61.35,-139.95,131.7,201.73
1.866988,61.2,-138.53,133.8,202.08
1.875597,61.2,-136.8,135.9,202.31
1.885897,61.2,-134.93,138.23,202.62
1.896068,61.13,-132.6,141.15,203.08
1.910691,60.83,-130.05,144.45,203.66
1.915982,60.23,-127.13,147.9,204.11
1.925572,59.85,-124.2,151.65,204.95
1.934934,59.03,-121.05,155.7,205.86
1.94408,58.05,-118.05,160.2,207.29
1.952791,57.15,-114.6,164.93,208.81
1.966344,55.5,-111.3,169.73,210.42
1.972742,53.63,-107.85,174.6,212.11
1.982778,51.45,-104.55,179.85,214.3
1.991343,49.13,-101.1,184.95,216.43
2.002039,46.35,-97.65,189.75,218.38
2.010745,43.2,-94.35,194.55,220.49
2.020372,39.83,-91.2,198.83,222.34
2.030751,36.15,-88.5,203.1,224.47
2.040135,32.25,-85.65,207.45,226.74
2.04967,28.2,-83.33,211.13,228.72
2.061329,24.53,-81.3,214.13,230.35
2.068893,20.7,-79.65,216.75,231.85
2.079865,17.03,-78.45,219.15,233.39
2.087993,13.05,-77.33,220.95,234.45
2.099197,13.05,-77.33,220.95,234.45
2.110236,9.53,-76.35,222.75,235.66
2.117428,6.15,-75.75,224.1,236.64
2.127628,3.45,-75.15,225.15,237.39
2.137285,0.75,-74.62,225.9,237.91
2.146275,-1.88,-74.55,226.35,238.32
2.156508,-3.6,-74.25,226.73,238.6
2.165882,-5.18,-74.33,227.33,239.22
2.176667,-5.85,-74.25,227.7,239.57
2.18618,-6.08,-74.25,227.7,239.58
2.197351,-5.85,-74.1,227.85,239.67
2.209817,-5.25,-74.03,227.85,239.63
2.214862,-3.9,-73.95,227.85,239.58
2.225704,-2.4,-73.73,227.85,239.49
2.235881,-0.45,-74.1,227.55,239.31
2.242403,1.95,-74.03,226.95,238.73
2.253475,5.25,-74.55,225.83,237.87
2.262679,8.85,-75.45,224.25,236.77
2.273325,12.83,-76.5,222.15,235.3
2.282542,17.03,-78,219.23,233.31
2.291557,21.15,-80.03,216.15,231.46
2.302023,25.43,-82.12,212.63,229.35
2.311388,29.85,-84.45,208.5,226.93
2.321243,34.2,-87.45,203.85,224.44
2.330485,37.73,-90.6,199.05,221.93
2.339381,41.03,-93.75,194.4,219.69
2.350245,44.1,-96.75,189.45,217.25
2.359225,46.8,-100.35,184.35,215.05
2.372633,49.35,-103.8,179.25,212.93
2.378082,51.53,-107.33,174.3,211.08
2.389857,53.33,-110.85,169.35,209.31
2.398657,53.33,-110.85,169.35,209.31
2.408762,54.75,-114.15,164.7,207.74
2.417259,56.1,-117.23,160.05,206.17
2.428483,57.15,-120.45,155.62,204.92
2.436082,58.13,-123.53,151.65,204.05
2.447135,58.8,-126.15,148.35,203.42
2.455985,59.4,-128.85,144.75,202.69
2.466395,60.15,-131.25,141.6,202.23
2.475729,60.75,-133.12,138.9,201.76
2.486021,61.13,-134.93,136.43,201.38
2.494898,61.65,-136.5,134.55,201.34
2.504756,61.95,-138,132.6,201.16
2.514222,62.1,-139.2,131.33,201.19
2.523797,62.1,-140.33,130.35,201.34
2.533073,62.25,-141,129.6,201.38
2.543959,62.25,-141.45,129.23,201.45
